0.25	1.517462	0.00026
0.255	1.515228	0.00024
0.26	1.513136	0.000222
0.265	1.511173	0.000206
0.27	1.509329	0.000191
0.275	1.507595	0.000179
0.28	1.505961	0.000167
0.285	1.504421	0.000157
0.29	1.502966	0.000148
0.295	1.50159	0.000139
0.3	1.500288	0.000132
0.305	1.499055	0.000125
0.31	1.497885	0.000118
0.315	1.496774	0.000112
0.32	1.495719	0.000107
0.325	1.494715	0.000102
0.33	1.493759	0
0.335	1.492849	0
0.34	1.491981	0
0.345	1.491152	0
0.35	1.490361	0
0.355	1.489605	0
0.36	1.488882	0
0.365	1.488189	0
0.37	1.487527	0
0.375	1.486891	0
0.38	1.486282	0
0.385	1.485698	0
0.39	1.485137	0
0.395	1.484598	0
0.4	1.48408	0
0.405	1.483582	0
0.41	1.483102	0
0.415	1.482641	0
0.42	1.482197	0
0.425	1.481768	0
0.43	1.481356	0
0.435	1.480958	0
0.44	1.480573	0
0.445	1.480203	0
0.45	1.479844	0
0.455	1.479498	0
0.46	1.479164	0
0.465	1.478841	0
0.47	1.478528	0
0.475	1.478225	0
0.48	1.477932	0
0.485	1.477649	0
0.49	1.477374	0
0.495	1.477107	0
0.5	1.476849	0
0.505	1.476599	0
0.51	1.476356	0
0.515	1.476121	0
0.52	1.475892	0
0.525	1.47567	0
0.53	1.475455	0
0.535	1.475245	0
0.54	1.475042	0
0.545	1.474844	0
0.55	1.474652	0
0.555	1.474464	0
0.56	1.474283	0
0.565	1.474106	0
0.57	1.473933	0
0.575	1.473766	0
0.58	1.473602	0
0.585	1.473443	0
0.59	1.473288	0
0.595	1.473137	0
0.6	1.47299	0
0.605	1.472847	0
0.61	1.472707	0
0.615	1.47257	0
0.62	1.472437	0
0.625	1.472307	0
0.63	1.472181	0
0.635	1.472057	0
0.64	1.471936	0
0.645	1.471818	0
0.65	1.471703	0
0.655	1.471591	0
0.66	1.471481	0
0.665	1.471373	0
0.67	1.471268	0
0.675	1.471166	0
0.68	1.471065	0
0.685	1.470967	0
0.69	1.470871	0
0.695	1.470778	0
0.7	1.470686	0
0.705	1.470596	0
0.71	1.470508	0
0.715	1.470422	0
0.72	1.470338	0
0.725	1.470255	0
0.73	1.470174	0
0.735	1.470095	0
0.74	1.470018	0
0.745	1.469942	0
0.75	1.469867	0
0.755	1.469794	0
0.76	1.469723	0
0.765	1.469653	0
0.77	1.469584	0
0.775	1.469517	0
0.78	1.469451	0
0.785	1.469386	0
0.79	1.469323	0
0.795	1.46926	0
0.8	1.469199	0
0.805	1.469139	0
0.81	1.46908	0
0.815	1.469023	0
0.82	1.468966	0
0.825	1.46891	0
0.83	1.468855	0
0.835	1.468802	0
0.84	1.468749	0
0.845	1.468697	0
0.85	1.468646	0
0.855	1.468597	0
0.86	1.468547	0
0.865	1.468499	0
0.87	1.468452	0
0.875	1.468405	0
0.88	1.46836	0
0.885	1.468315	0
0.89	1.46827	0
0.895	1.468227	0
0.9	1.468184	0
0.905	1.468142	0
0.91	1.468101	0
0.915	1.46806	0
0.92	1.46802	0
0.925	1.467981	0
0.93	1.467942	0
0.935	1.467904	0
0.94	1.467866	0
0.945	1.46783	0
0.95	1.467793	0
0.955	1.467758	0
0.96	1.467722	0
0.965	1.467688	0
0.97	1.467654	0
0.975	1.46762	0
0.98	1.467587	0
0.985	1.467555	0
0.99	1.467523	0
0.995	1.467491	0
1	1.46746	0
1.005	1.467429	0
1.01	1.467399	0
1.015	1.467369	0
1.02	1.46734	0
1.025	1.467311	0
1.03	1.467283	0
1.035	1.467255	0
1.04	1.467227	0
1.045	1.4672	0
1.05	1.467173	0
1.055	1.467147	0
1.06	1.467121	0
1.065	1.467095	0
1.07	1.46707	0
1.075	1.467045	0
1.08	1.46702	0
1.085	1.466996	0
1.09	1.466972	0
1.095	1.466949	0
1.1	1.466925	0
1.105	1.466902	0
1.11	1.46688	0
1.115	1.466857	0
1.12	1.466835	0
1.125	1.466813	0
1.13	1.466792	0
1.135	1.466771	0
1.14	1.46675	0
1.145	1.466729	0
1.15	1.466709	0
1.155	1.466689	0
1.16	1.466669	0
1.165	1.466649	0
1.17	1.46663	0
1.175	1.466611	0
1.18	1.466592	0
1.185	1.466574	0
1.19	1.466555	0
1.195	1.466537	0
1.2	1.466519	0
1.205	1.466502	0
1.21	1.466484	0
1.215	1.466467	0
1.22	1.46645	0
1.225	1.466433	0
1.23	1.466416	0
1.235	1.4664	0
1.24	1.466384	0
1.245	1.466368	0
1.25	1.466352	0
1.255	1.466336	0
1.26	1.466321	0
1.265	1.466306	0
1.27	1.46629	0
1.275	1.466276	0
1.28	1.466261	0
1.285	1.466246	0
1.29	1.466232	0
1.295	1.466218	0
1.3	1.466204	0
1.305	1.46619	0
1.31	1.466176	0
1.315	1.466162	0
1.32	1.466149	0
1.325	1.466136	0
1.33	1.466123	0
1.335	1.46611	0
1.34	1.466097	0
1.345	1.466084	0
1.35	1.466071	0
1.355	1.466059	0
1.36	1.466047	0
1.365	1.466035	0
1.37	1.466023	0
1.375	1.466011	0
1.38	1.465999	0
1.385	1.465987	0
1.39	1.465976	0
1.395	1.465965	0
1.4	1.465953	0
1.405	1.465942	0
1.41	1.465931	0
1.415	1.46592	0
1.42	1.46591	0
1.425	1.465899	0
1.43	1.465888	0
1.435	1.465878	0
1.44	1.465868	0
1.445	1.465857	0
1.45	1.465847	0
1.455	1.465837	0
1.46	1.465827	0
1.465	1.465818	0
1.47	1.465808	0
1.475	1.465798	0
1.48	1.465789	0
1.485	1.465779	0
1.49	1.46577	0
1.495	1.465761	0
1.5	1.465752	0
1.505	1.465743	0
1.51	1.465734	0
1.515	1.465725	0
1.52	1.465716	0
1.525	1.465707	0
1.53	1.465699	0
1.535	1.46569	0
1.54	1.465682	0
1.545	1.465673	0
1.55	1.465665	0
1.555	1.465657	0
1.56	1.465649	0
1.565	1.465641	0
1.57	1.465633	0
1.575	1.465625	0
1.58	1.465617	0
1.585	1.465609	0
1.59	1.465602	0
1.595	1.465594	0
1.6	1.465587	0
1.605	1.465579	0
1.61	1.465572	0
1.615	1.465564	0
1.62	1.465557	0
1.625	1.46555	0
1.63	1.465543	0
1.635	1.465536	0
1.64	1.465529	0
1.645	1.465522	0
1.65	1.465515	0
1.655	1.465508	0
1.66	1.465502	0
1.665	1.465495	0
1.67	1.465488	0
1.675	1.465482	0
1.68	1.465475	0
1.685	1.465469	0
1.69	1.465462	0
1.695	1.465456	0
1.7	1.46545	0
1.705	1.465444	0
1.71	1.465438	0
1.715	1.465431	0
1.72	1.465425	0
1.725	1.465419	0
1.73	1.465413	0
1.735	1.465408	0
1.74	1.465402	0
1.745	1.465396	0
1.75	1.46539	0
1.755	1.465385	0
1.76	1.465379	0
1.765	1.465373	0
1.77	1.465368	0
1.775	1.465362	0
1.78	1.465357	0
1.785	1.465351	0
1.79	1.465346	0
1.795	1.465341	0
1.8	1.465335	0
1.805	1.46533	0
1.81	1.465325	0
1.815	1.46532	0
1.82	1.465315	0
1.825	1.46531	0
1.83	1.465305	0
1.835	1.4653	0
1.84	1.465295	0
1.845	1.46529	0
1.85	1.465285	0
1.855	1.46528	0
1.86	1.465275	0
1.865	1.465271	0
1.87	1.465266	0
1.875	1.465261	0
1.88	1.465257	0
1.885	1.465252	0
1.89	1.465248	0
1.895	1.465243	0
1.9	1.465239	0
1.905	1.465234	0
1.91	1.46523	0
1.915	1.465225	0
1.92	1.465221	0
1.925	1.465217	0
1.93	1.465212	0
1.935	1.465208	0
1.94	1.465204	0
1.945	1.4652	0
1.95	1.465196	0
1.955	1.465192	0
1.96	1.465187	0
1.965	1.465183	0
1.97	1.465179	0
1.975	1.465175	0
1.98	1.465171	0
1.985	1.465167	0
1.99	1.465164	0
1.995	1.46516	0
2	1.465156	0
2.005	1.465152	0
2.01	1.465148	0
2.015	1.465145	0
2.02	1.465141	0
2.025	1.465137	0
2.03	1.465133	0
2.035	1.46513	0
2.04	1.465126	0
2.045	1.465123	0
2.05	1.465119	0
2.055	1.465115	0
2.06	1.465112	0
2.065	1.465108	0
2.07	1.465105	0
2.075	1.465102	0
2.08	1.465098	0
2.085	1.465095	0
2.09	1.465091	0
2.095	1.465088	0
2.1	1.465085	0
2.105	1.465081	0
2.11	1.465078	0
2.115	1.465075	0
2.12	1.465072	0
2.125	1.465069	0
2.13	1.465065	0
2.135	1.465062	0
2.14	1.465059	0
2.145	1.465056	0
2.15	1.465053	0
2.155	1.46505	0
2.16	1.465047	0
2.165	1.465044	0
2.17	1.465041	0
2.175	1.465038	0
2.18	1.465035	0
2.185	1.465032	0
2.19	1.465029	0
2.195	1.465026	0
2.2	1.465023	0
2.205	1.46502	0
2.21	1.465017	0
2.215	1.465015	0
2.22	1.465012	0
2.225	1.465009	0
2.23	1.465006	0
2.235	1.465003	0
2.24	1.465001	0
2.245	1.464998	0
2.25	1.464995	0
2.255	1.464993	0
2.26	1.46499	0
2.265	1.464987	0
2.27	1.464985	0
2.275	1.464982	0
2.28	1.46498	0
2.285	1.464977	0
2.29	1.464974	0
2.295	1.464972	0
